,gm#,date,unnamed: 2,tm,unnamed: 4,opp,w/l,r,ra,inn,w-l,rank,gb,time,d/n,attendance,cli,streak,orig. scheduled
0,1,"Thursday, Mar 28",boxscore,ARI,,COL,W,16,1,,1-0,1,Tied,2:37,N,49011,.98,+,
1,2,"Friday, Mar 29",boxscore,ARI,,COL,W,7,3,,2-0,1,Tied,2:36,N,29480,1.00,++,
2,3,"Saturday, Mar 30",boxscore,ARI,,COL,L,4,9,,2-1,1,Tied,3:17,N,32133,1.06,-,
3,4,"Sunday, Mar 31",boxscore,ARI,,COL,W,5,1,,3-1,1,Tied,2:22,D,21824,1.00,+,
4,Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
5,5,"Monday, Apr 1",boxscore,ARI,,NYY,L,2,5,,3-2,2,1.0,2:59,N,38608,.97,-,
6,6,"Tuesday, Apr 2",boxscore,ARI,,NYY,W,7,0,,4-2,2,1.0,2:27,N,39863,.93,+,
7,7,"Wednesday, Apr 3",boxscore,ARI,,NYY,L,5,6,11,4-3,2,2.0,3:04,D,35038,.98,-,
8,8,"Friday, Apr 5",boxscore,ARI,@,ATL,L-wo,5,6,10,4-4,2,2.0,3:10,N,41426,.98,--,
9,9,"Saturday, Apr 6",boxscore,ARI,@,ATL,L,8,9,,4-5,2,3.0,2:49,N,41278,.95,---,
10,10,"Sunday, Apr 7",boxscore,ARI,@,ATL,L,2,5,,4-6,2,3.0,2:30,D,40693,.93,----,
11,11,"Monday, Apr 8",boxscore,ARI,@,COL,L,5,7,,4-7,3,4.0,3:07,N,18870,.90,-----,
12,12,"Tuesday, Apr 9",boxscore,ARI,@,COL,W,3,2,,5-7,2,4.0,2:38,N,19359,.87,+,
13,13,"Wednesday, Apr 10",boxscore,ARI,@,COL,W,5,3,,6-7,2,3.0,2:53,D,18311,.92,++,
14,14,"Friday, Apr 12",boxscore,ARI,,STL,L,6,9,,6-8,3,3.0,2:44,N,29247,.94,-,
15,15,"Saturday, Apr 13",boxscore,ARI,,STL,W,4,2,,7-8,2,3.0,2:22,N,33640,.88,+,
16,16,"Sunday, Apr 14",boxscore,ARI,,STL,W,5,0,,8-8,2,2.0,2:29,D,26460,.91,++,
17,17,"Monday, Apr 15",boxscore,ARI,,CHC,L,2,3,11,8-9,3,2.0,3:16,N,24468,.95,-,
18,18,"Tuesday, Apr 16",boxscore,ARI,,CHC,W-wo,12,11,10,9-9,3,2.0,3:38,N,26426,.94,+,
19,19,"Wednesday, Apr 17",boxscore,ARI,,CHC,L,3,5,,9-10,3,2.0,2:26,D,26567,.96,-,
20,20,"Thursday, Apr 18",boxscore,ARI,@,SFG,L,0,5,,9-11,3,2.5,2:12,N,26896,.94,--,
21,21,"Friday, Apr 19",boxscore,ARI,@,SFG,W,17,1,,10-11,3,1.5,3:00,N,33921,.91,+,
22,22,"Saturday, Apr 20",boxscore,ARI,@,SFG,L,3,7,,10-12,3,1.5,2:34,D,31063,1.01,-,
